Unnamed: 0,Question,Correct_Ans,Answer_1,Answer_2
0,1.0,A,B,A
1,2.0,B,C,C
2,3.0,B,B,
3,4.0,C,C,
4,5.0,C,C,
5,6.0,D,D,
6,7.0,D,C,D
7,8.0,C,E,E
8,9.0,E,E,
9,10.0,B,B,
10,11.0,E,E,
11,12.0,B,B,
12,13.0,D,D,
13,14.0,B,B,
14,15.0,B,B,
15,16.0,C,C,
16,17.0,C,C,
17,18.0,C,C,
18,19.0,E,E,
19,20.0,E,"A, D, E","A, D, E"
20,21.0,A,A,
21,22.0,A,E,E
22,23.0,A,A,
23,24.0,C,C,
24,25.0,D,C,D
25,26.0,E,E,
26,27.0,E,A,E
27,28.0,B,B,
28,29.0,B,B,
29,30.0,A,C,A
30,31.0,B,A,A
31,32.0,B,E,E
32,33.0,E,B,E
33,34.0,E,C,E
34,35.0,B,B,
35,36.0,B,B,
36,37.0,A,A,
37,38.0,A,A,
38,39.0,A,A,
39,40.0,C,A,C
40,41.0,C,C,
41,42.0,D,C,"A,D"
42,43.0,C,C,
43,44.0,E,E,
44,45.0,A,A,
45,46.0,A,A,
46,47.0,B,B,
47,48.0,E,E,
48,49.0,B,B,
49,50.0,C,C,
50,51.0,C,C,
51,52.0,C,D,D
52,53.0,A,A,
53,54.0,B,B,
54,55.0,D,D,
55,56.0,E,D,D
56,57.0,D,C,D
57,58.0,E,E,
58,59.0,B,,
0,1.0,D,D,
1,2.0,B,A,B
2,3.0,E,C,E
3,4.0,C,C,
4,5.0,D,D,
5,6.0,A,A,
6,7.0,B,B,
7,8.0,A,None of the above,A
8,9.0,B,A,C
9,10.0,A,A,
10,11.0,D,D,
11,12.0,C,C,
12,13.0,D,D,
13,14.0,E,E,
14,15.0,B,B,
15,16.0,D,D,
16,17.0,E,E,
17,18.0,E,E,
18,19.0,A,A,
19,20.0,C,D,C
20,21.0,C,C,
21,22.0,C,D,D
22,23.0,D,B,D
23,24.0,C,C,
24,25.0,D,D,
25,26.0,B,A,E
26,27.0,A,A,
27,28.0,A,A,
28,29.0,D,A,A
29,30.0,A,A,
30,31.0,E,B,E
31,32.0,A,C,A
32,33.0,B,A,B
33,34.0,C,C,
34,35.0,E,D,E
35,36.0,A,A,
36,37.0,D,D,
37,38.0,A,A,
38,39.0,B,A,B
39,40.0,C,C,
40,41.0,A,D,A
41,42.0,A,E,A
42,43.0,E,E,
43,44.0,B,B,
44,45.0,B,B,
45,46.0,B,E,E
46,47.0,C,E,E
47,48.0,A,C,A
48,49.0,E,E,
49,50.0,E,A,A
50,51.0,C,A,A
51,52.0,D,B,D
52,53.0,B,B,
53,54.0,B,B,
54,55.0,A,A,
55,56.0,D,D,
56,57.0,C,C,
57,58.0,B,B,
58,59.0,D,D,
59,60.0,D,D,
60,61.0,E,E,
61,62.0,D,D,
62,63.0,C,C,
63,64.0,E,C,E
64,65.0,A,A,
65,66.0,E,D,D
66,67.0,B,B,
67,68.0,A,A,
68,69.0,E,A,E
69,70.0,A,E,E
70,71.0,D,C,C
71,72.0,C,C,
72,73.0,B,B,
73,74.0,A,E,E
74,75.0,B,B,
75,76.0,B,B,
76,77.0,D,B,B
77,78.0,E,D,D
78,79.0,C,C,
79,80.0,B,B,
80,81.0,D,B,"B,D"
81,82.0,B,B,
82,83.0,B,B,
83,84.0,E,C,C
84,85.0,C,C,
85,86.0,C,C,
86,87.0,E,E,
87,88.0,A,A,
88,89.0,D,D,
89,90.0,E,E,
90,91.0,D,D,
91,92.0,A,A,
92,93.0,A,A,
93,94.0,C,C,
94,95.0,D,A,A
95,96.0,B,B,
96,97.0,E,E,
97,98.0,A,A,
98,99.0,D,D,
99,100.0,C,C,
100,101.0,A,A,
101,102.0,A,A,
102,103.0,E,E,
103,104.0,B,B,
104,105.0,B,B,
105,106.0,A,A,
106,107.0,D,D,
107,108.0,E,E,
108,109.0,B,B,
109,110.0,C,A,C
110,111.0,C,C,
111,112.0,B,B,
112,113.0,D,D,
113,114.0,D,D,
114,115.0,C,C,
115,116.0,A,A,
116,117.0,E,E,
117,118.0,E,C,C
118,119.0,D,D,
119,120.0,B,B,
120,121.0,B,B,
121,122.0,A,E,E
122,123.0,A,B,B
123,124.0,B,B,
124,125.0,A,A,
125,126.0,A,A,
126,127.0,E,D,D
127,128.0,E,E,
128,129.0,E,E,
129,130.0,C,A,C
130,131.0,B,B,
131,132.0,B,C,B
132,133.0,D,D,
133,134.0,E,E,
134,135.0,A,A,
135,136.0,C,C,
136,137.0,B,B,
137,138.0,B,B,
138,139.0,A,E,E
